source file name , phase name , phase input files , phase output file , arch , tool, metric , unit
src/main.cpp , gcc (compiling) , src/main.cpp  , /tmp/tmpxft_0006caec_00000000-37_main.o ,  , nvcc , 3957.9861 , ms
src/kernel/utils.cu , gcc (preprocessing 4) , src/kernel/utils.cu  , /tmp/tmpxft_0006caec_00000000-5_utils.cpp4.ii ,  , nvcc , 248.3810 , ms
src/kernel/utils.cu , cudafe++ , /tmp/tmpxft_0006caec_00000000-5_utils.cpp4.ii  , /tmp/tmpxft_0006caec_00000000-6_utils.cudafe1.cpp , compute_52 , nvcc , 942.8550 , ms
src/kernel/utils.cu , gcc (preprocessing 1) , src/kernel/utils.cu  , /tmp/tmpxft_0006caec_00000000-38_utils.cpp1.ii , compute_52 , nvcc , 157.5170 , ms
src/kernel/utils.cu , cicc ,  /tmp/tmpxft_0006caec_00000000-38_utils.cpp1.ii  , /tmp/tmpxft_0006caec_00000000-6_utils.ptx , compute_52 , nvcc , 737.2170 , ms
src/kernel/utils.cu , ptxas , /tmp/tmpxft_0006caec_00000000-6_utils.ptx  , /tmp/tmpxft_0006caec_00000000-39_utils.sm_52.cubin , sm_52 , nvcc , 98.8350 , ms
src/kernel/utils.cu , fatbinary , /tmp/tmpxft_0006caec_00000000-39_utils.sm_52.cubin /tmp/tmpxft_0006caec_00000000-6_utils.ptx  , /tmp/tmpxft_0006caec_00000000-3_utils.fatbin ,  , nvcc , 13.8760 , ms
src/kernel/utils.cu , gcc (compiling) ,   , /tmp/tmpxft_0006caec_00000000-40_utils.o , compute_52 , nvcc , 731.6300 , ms
src/forward/Kernel/layer_norm.cu , gcc (preprocessing 4) , src/forward/Kernel/layer_norm.cu  , /tmp/tmpxft_0006caec_00000000-9_layer_norm.cpp4.ii ,  , nvcc , 174.7500 , ms
src/forward/Kernel/layer_norm.cu , cudafe++ , /tmp/tmpxft_0006caec_00000000-9_layer_norm.cpp4.ii  , /tmp/tmpxft_0006caec_00000000-10_layer_norm.cudafe1.cpp , compute_52 , nvcc , 1098.9240 , ms
src/forward/Kernel/layer_norm.cu , gcc (preprocessing 1) , src/forward/Kernel/layer_norm.cu  , /tmp/tmpxft_0006caec_00000000-41_layer_norm.cpp1.ii , compute_52 , nvcc , 184.2860 , ms
src/forward/Kernel/layer_norm.cu , cicc ,  /tmp/tmpxft_0006caec_00000000-41_layer_norm.cpp1.ii  , /tmp/tmpxft_0006caec_00000000-10_layer_norm.ptx , compute_52 , nvcc , 899.8700 , ms
src/forward/Kernel/layer_norm.cu , ptxas , /tmp/tmpxft_0006caec_00000000-10_layer_norm.ptx  , /tmp/tmpxft_0006caec_00000000-42_layer_norm.sm_52.cubin , sm_52 , nvcc , 128.2130 , ms
